"code","original"
1,"LP2000900-DNA_E11"
2,"LP2000908-DNA_F08"
3,"LP2000909-DNA_A11"
4,"LP2000909-DNA_E02"
5,"LP3000004-DNA_D10"
6,"LP3000016-DNA_A12"
7,"LP3000105-DNA_F01"
8,"LP3000107-DNA_A01"
9,"LP3000107-DNA_B01"
10,"LP3000144-DNA_G05"
11,"LP3000178-DNA_E08"
12,"LP3000207-DNA_C08"
13,"LP3000262-DNA_H12"
14,"LP3000287-DNA_E02"
15,"LP3000288-DNA_B02"
16,"LP3000309-DNA_F06"
17,"LP3000418-DNA_G01"
18,"LP3000427-DNA_C09"
19,"LP3000436-DNA_A12"
20,"LP3000441-DNA_A02"
21,"LP3000448-DNA_A08"
22,"LP3000448-DNA_A09"
23,"LP3000448-DNA_B08"
24,"LP3000448-DNA_C01"
25,"LP3000448-DNA_E08"
26,"LP3000459-DNA_A09"
27,"LP3000459-DNA_B03"
28,"LP3000459-DNA_D06"
29,"LP3000475-DNA_H05"
30,"LP3000480-DNA_A01"
31,"LP3000552-DNA_B01"
32,"LP3000559-DNA_A03"
33,"LP3000564-DNA_A03"
34,"LP3000574-DNA_A11"
35,"LP3000582-DNA_D01"
36,"LP3000584-DNA_D10"
37,"LP3000591-DNA_A04"
38,"LP3000628-DNA_B08"
39,"LP3000644-DNA_B02"
40,"LP3000646-DNA_A03"
41,"LP3000650-DNA_A07"
42,"LP3000652-DNA_B10"
43,"LP3000652-DNA_B12"
44,"LP3000652-DNA_D07"
45,"LP3000663-DNA_E09"
46,"LP3000675-DNA_A03"
47,"LP3000713-DNA_E05"
48,"LP3000736-DNA_C08"
49,"LP3000736-DNA_H12"
50,"LP3000802-DNA_B03"
51,"LP3000857-DNA_D07"
52,"LP3000911-DNA_F06"
53,"LP3000919-DNA_B10"
54,"LP3001001-DNA_G01"
55,"LP3001014-DNA_F05"
56,"UNKNOWN"
